code,Team Name
ALM,AG2R La Mondiale
AST,Astana Pro Team
BOH,Bora-Hansgrohe
CPT,CCC Team
DQT,Deceuninck-QuickStep
EF1,EF Education First
GFC,Groupama-FDJ
LTS,Lotto Soudal
MOV,Movistar Team
MTS,Mitchelton-Scott
SKY,Team Sky
SUN,Team Sunweb
TBM,Bahrain-Merida
TDD,Dimension Data
TFS,Trek-Segafredo
TJV,Team Jumbo-Visma
TKA,Katusha-Alpecin
UAD,UAE Team Emirates
ANS,Androni Giocattoli-Sidermec
BBH,Burgos-Bh
BRD,Bardiani CSF
CJR,Caja Rural-Seguros RGA
COC,Corendon-Circus
COF,Cofidis Solutions Credits
DMP,Delko Marseille Provence
EUS,Euskadi Basque Country-Murias
GAZ,Gazprom-Rusvelo
HBA,Hagens Berman Axeon
ICA,Israel Cycling Academy
MZN,Manzana Postobon Team
NIP,Nippo-Vini Fantini-Faizane
PCB,Team Arkea-Samsic
RIW,Riwal Readynez Cycling Team
RLY,Rally UHC Cycling
ROC,Roompot-Charles
SVB,Sport Vlaanderen-Baloise
TDE,Direct Energie
THR,Tharcor
TNN,Team Novo Nordisk
VCB,Vital Concept-B&B Hotels
W52,W52/FC Porto
WGG,Wanty-Gobert Cycling Team
WVA,Wallonie Bruxelles
ALE,Ale Cipollini
ASA,Astana Women's Team
BDU,Bizkaia-Durango
BIG,Bigla Pro Cycling Team
BPC,Biehler Pro Cycling
BPK,BePink
BTC,Btc City Ljubljana
CCW,CCC-Liv
CGS,Cogeas Mettler Look
CMW,Charente-Maritime Women
CSR,Canyon-SRAM
CZF,Conceria Zabri-Fanini
DLT,Boels Dolmans Cyclingteam
DRP,Drops
DVE,Doltcini-Van Eyck Sport
EIC,Eneicue Cycling Team
FDJ,FDJ Nouvelle-Aquitaine Futuroscope
GPW,China Liv Pro Cycling
HBS,Hagens Berman-Supermint
HMT,Health Mate-Ladies Team
HPU,Hitec Products-Birk Sport
LCW,Lviv Cycling Team
LSL,Lotto Soudal Ladies
MCW,Minsk Cycling Club
MOW,Movistar Team Women
MTW,Mitchelton-Scott Women
PHV,Parkhotel Valkenburg
RLW,Rally UHC Cycling Women
SBT,Eurotarget-Bianchi-Vittoria
SER,Servetto-Piumate-Beltrami TSA
SUW,Team Sunweb Women
SWA,Swapit Agolico
SWT,Sopela Women's Team
T20,Sho-Air Twenty20
TFW,Trek-Segafredo Women
TIB,Tibco-Silicon Valley Bank
TOP,Top Girls Fassa Bortolo
TVC,Team Virtu Cycling
VAI,Aromitalia-Basso Bikes-Vaiano
VAL,Valcar-Cylance Cycling
WNT,WNT-Rotor Pro Cycling
ACS,AC Sparta Praha
ADR,Adria Mobil
AIS,Aisan Racing Team
AKT,Akros-Thömus
AMO,Amore & Vita-Prodir
ACM,Asociacion Civil Mardan
AVF,Asociación Civil Agrupación Virgen de Fatima
TSE,Astana City
AVL,Aviludo-Louletano
BRT,Beat Cycling Club
BHP,Beltramitsa Hoppla' Petroli Firenze
ABB,BHS-Almeborg Bornholm
BIC,Biesse Carrera
CAS,Canel's-Specialized
CDT,CCC Development Team
CIB,Cibel
CBS,Coldeportes Bicicletas Strongman
ECZ,Coldeportes Zenu
AZT,D'Amico Um Tools
DCB,DC Bank Pro Cycling Team
DSU,Development Team Sunweb
DDC,Dimension Data For Qhubeka
DCC,Drapac Cannondale Holistic Development Team
DKB,Dukla Banska Bystrica
EFP,Efapel
ELV,Elevate-KHS Pro Cycling
ELA,Elkov-Author
EPM,EPM
EUK,Equipo Euskadi
EVO,Evopro Racing
FCT,Ferei Pro Cycling Team
FSC,Foolad Mobarakeh Sepahan
GPC,Gapyeong Cycling Team
GIC,Geumsan Insam Cello
MSS,Giant Cycling Team
GTV,Giotti Victoria
CGF,Groupama-FDJ Continental
GUE,Guerciotti-Kiwi Atlantico
GWS,GW Shimano
HRN,Heizomat Rad-Net.de
HEN,Hengxiang Cycling Team
HRR,Herrmann Radteam
HAC,Hrinkow Advarics Cycleang
IAM,IAM Excelsior
DCT,Inteja Imca-Ridea DCT
IPC,Interpro Cycling Academy
IRC,Iseo Serrature-Rime-Carnovali
TJB,Joker BMI
KIN,Kinan Cycling Team
KMT,Kometa Cycling Team
KCT,Korail Cycling Team
KSP,KSPO Bianchi Asia Pro Cycling
TKC,KYIV Capital Team
LAA,L.A. Aluminios- L.A. Sport
LPC,Leopard Pro Cycling
LGS,Ljubljana Gusto Santic
LOK,Lokosphinx
LCT,LVIV Cycling Team
LXC,LX Cycling Team
MGT,Madison Genesis
MPB,Maloja Pushbikers
MAB,Marlux-Bingoal
VIV,Massi Vivo-Grupo Oresy
MTR,Matrix Powertag
MED,Medellin
MPC,Memil Pro Cycling
MKT,Meridiana Kamen Team
MCC,Minsk Cycling Club
MIR,Miranda- Mortágua
MTA,Monkey Town-A Block
MTE,Movistar Team Ecuador
NAS,Nasu Blasen
OLI,Oliver's Real Food Racing
OMT,Omidnia Mashhad Team
SKC,Pardus-Tufo Prostejov
PSV,Pauwels Sauzen-Vastgoedservice
ACA,Pro Racing Sunshine Coast
PRO,Protouch
RPB,Radio Popular-Boavista
SFS,São Francisco Saúde-Klabin-SME Ribeirão Preto
SEG,SEG Racing Academy
SCT,Seoul Cycling Team
SMN,Shimano Racing Team
CCS,Sovac
CTN,Sport.Land. Niederösterreich Selle Smp-St. Rich
STG,St George Continental Cycling Team
AUB,St Michel-Auber 93
SRA,Swiss Racing Academy
TIS,Tarteletto-Isorex
BGT,Team Bridgestone Cycling
TCQ,Team Coloquick
CPK,Team Colpack
TCO,Team Coop
TDA,Team Dauner-Akkon
CCD,Team Differdange Geba
ILU,Team Illuminate
SVL,Team Sauerland NRW p/b SKS Germany
TSL,Team Skyline
UKO,Team Ukyo
VBG,Team Vorarlberg Santic
WAO,Team Waoo
TFL,Telenet Fidea Lions
TSG,Terengganu Inc. TSG Cycling Team
TCC,Thailand Continental Cycling Team
UIO,UD Oliveirense-Inoutbuild
UCT,Uijeongbu Cycling Team
UXT,Uno-X Norwegian Development Team
BLZ,Utsunomiya Blitzen
VAM,Vino-Astana Motors
CDF,Vito-Feirense-PNB
VOS,Voster ATS Team
WBD,Wallonie-Bruxelles Development Team
WGC,Wildlife Generation Pro Cycling p/b Maxxis
